batch,heads,seq_len,head_dim,dtype,causal,variant,ms,tflops,speedup_vs_sdpa,status
1,4,256,64,fp16,no,sdpa,0.1029,0.65,1.0,ok
1,4,256,64,fp16,no,naive,0.3899,0.17,0.26,ok
1,4,256,64,fp16,no,flash,0.1996,0.34,0.52,ok
2,8,512,64,fp16,no,sdpa,0.1027,10.46,1.0,ok
2,8,512,64,fp16,no,naive,0.3857,2.78,0.27,ok
2,8,512,64,fp16,no,flash,0.1986,5.41,0.52,ok
2,8,1024,64,fp16,no,sdpa,0.1737,24.73,1.0,ok
2,8,1024,64,fp16,no,naive,0.4564,9.41,0.38,ok
2,8,1024,64,fp16,no,flash,0.2984,14.4,0.58,ok
2,8,2048,64,fp16,no,sdpa,0.5095,33.72,1.0,ok
2,8,2048,64,fp16,no,naive,1.9196,8.95,0.27,ok
2,8,2048,64,fp16,no,flash,0.662,25.95,0.77,ok
1,8,4096,64,fp16,no,sdpa,0.956,35.94,1.0,ok
1,8,4096,64,fp16,no,naive,4.5318,7.58,0.21,ok
1,8,4096,64,fp16,no,flash,1.1652,29.49,0.82,ok
1,4,256,64,fp16,yes,sdpa,0.106,0.32,1.0,ok
1,4,256,64,fp16,yes,naive,0.5742,0.06,0.18,ok
1,4,256,64,fp16,yes,flash,0.1879,0.18,0.56,ok
2,8,512,64,fp16,yes,sdpa,0.1003,5.35,1.0,ok
2,8,512,64,fp16,yes,naive,0.576,0.93,0.17,ok
2,8,512,64,fp16,yes,flash,0.1931,2.78,0.52,ok
2,8,1024,64,fp16,yes,sdpa,0.1505,14.27,1.0,ok
2,8,1024,64,fp16,yes,naive,0.7258,2.96,0.21,ok
2,8,1024,64,fp16,yes,flash,0.2479,8.66,0.61,ok
2,8,2048,64,fp16,yes,sdpa,0.3401,25.26,1.0,ok
2,8,2048,64,fp16,yes,naive,3.3329,2.58,0.1,ok
2,8,2048,64,fp16,yes,flash,0.4821,17.82,0.71,ok
1,8,4096,64,fp16,yes,sdpa,0.5821,29.51,1.0,ok
1,8,4096,64,fp16,yes,naive,7.1995,2.39,0.08,ok
1,8,4096,64,fp16,yes,flash,0.7771,22.11,0.75,ok
1,4,256,64,fp32,no,sdpa,0.1274,0.53,1.0,ok
1,4,256,64,fp32,no,naive,0.3837,0.17,0.33,ok
1,4,256,64,fp32,no,flash,0.1973,0.34,0.65,ok
2,8,512,64,fp32,no,sdpa,0.2801,3.83,1.0,ok
2,8,512,64,fp32,no,naive,0.3825,2.81,0.73,ok
2,8,512,64,fp32,no,flash,0.4803,2.24,0.58,ok
2,8,1024,64,fp32,no,sdpa,0.8207,5.23,1.0,ok
2,8,1024,64,fp32,no,naive,1.0408,4.13,0.79,ok
2,8,1024,64,fp32,no,flash,1.4548,2.95,0.56,ok
2,8,2048,64,fp32,no,sdpa,2.775,6.19,1.0,ok
2,8,2048,64,fp32,no,naive,3.7802,4.54,0.73,ok
2,8,2048,64,fp32,no,flash,5.0768,3.38,0.55,ok
1,8,4096,64,fp32,no,sdpa,5.5205,6.22,1.0,ok
1,8,4096,64,fp32,no,naive,7.7468,4.44,0.71,ok
1,8,4096,64,fp32,no,flash,9.8653,3.48,0.56,ok
1,4,256,64,fp32,yes,sdpa,0.1279,0.26,1.0,ok
1,4,256,64,fp32,yes,naive,0.572,0.06,0.22,ok
1,4,256,64,fp32,yes,flash,0.1966,0.17,0.65,ok
2,8,512,64,fp32,yes,sdpa,0.2353,2.28,1.0,ok
2,8,512,64,fp32,yes,naive,0.5751,0.93,0.41,ok
2,8,512,64,fp32,yes,flash,0.3694,1.45,0.64,ok
2,8,1024,64,fp32,yes,sdpa,0.5549,3.87,1.0,ok
2,8,1024,64,fp32,yes,naive,1.5212,1.41,0.36,ok
2,8,1024,64,fp32,yes,flash,0.8796,2.44,0.63,ok
2,8,2048,64,fp32,yes,sdpa,1.6562,5.19,1.0,ok
2,8,2048,64,fp32,yes,naive,5.8091,1.48,0.29,ok
2,8,2048,64,fp32,yes,flash,2.756,3.12,0.6,ok
1,8,4096,64,fp32,yes,sdpa,3.2041,5.36,1.0,ok
1,8,4096,64,fp32,yes,naive,12.0358,1.43,0.27,ok
1,8,4096,64,fp32,yes,flash,5.3243,3.23,0.6,ok
