M,K,N,variant,ms,gflops,pct_peak,speedup_vs_cublas
512,512,512,cublas,0.0855,3140.6,10.2,1.0
512,512,512,tiled,0.1791,1499.0,4.9,0.477
512,512,512,v2reg,0.0851,3153.0,10.2,1.004
512,512,512,v3wide,0.1401,1916.5,6.2,0.61
1024,1024,1024,cublas,0.2103,10212.9,33.1,1.0
1024,1024,1024,tiled,1.1818,1817.1,5.9,0.178
1024,1024,1024,v2reg,0.3411,6295.7,20.4,0.616
1024,1024,1024,v3wide,0.3803,5647.2,18.3,0.553
2048,2048,2048,cublas,1.1348,15138.9,49.0,1.0
2048,2048,2048,tiled,9.1037,1887.1,6.1,0.125
2048,2048,2048,v2reg,2.2323,7696.0,24.9,0.508
2048,2048,2048,v3wide,2.0053,8567.2,27.7,0.566
4096,4096,4096,cublas,8.8558,15519.6,50.2,1.0
4096,4096,4096,tiled,72.1529,1904.8,6.2,0.123
4096,4096,4096,v2reg,17.1116,8031.9,26.0,0.518
4096,4096,4096,v3wide,14.0311,9795.3,31.7,0.631
1024,768,512,cublas,0.1194,6743.3,21.8,1.0
1024,768,512,tiled,0.4624,1741.4,5.6,0.258
1024,768,512,v2reg,0.1491,5402.7,17.5,0.801
1024,768,512,v3wide,0.1872,4303.0,13.9,0.638
