M,K,N,variant,ms,gflops,pct_peak,speedup_vs_cublas
512,512,512,cublas,0.0879,3052.6,9.9,1.0
512,512,512,tiled,0.179,1499.3,4.9,0.491
1024,1024,1024,cublas,0.2106,10198.9,33.0,1.0
1024,1024,1024,tiled,1.1772,1824.2,5.9,0.179
2048,2048,2048,cublas,1.1304,15198.0,49.2,1.0
2048,2048,2048,tiled,9.1385,1879.9,6.1,0.124
4096,4096,4096,cublas,8.9532,15350.9,49.7,1.0
4096,4096,4096,tiled,72.1841,1904.0,6.2,0.124
1024,768,512,cublas,0.122,6599.1,21.4,1.0
1024,768,512,tiled,0.4649,1732.3,5.6,0.263
