N,H,dtype,variant,ms,gbps,pct_peak,footprint_mb,l2_resident,speedup_vs_unfused
4096,2048,fp32,fused,0.2847,471.4,70.2,134.2,no,0.95
4096,2048,fp32,unfused,0.27109,618.9,92.1,167.8,no,1.0
4096,2048,fp32,norm,0.16382,409.6,61.0,67.1,no,1.65
4096,3072,fp32,fused,0.40088,502.2,74.7,201.3,no,1.15
4096,3072,fp32,unfused,0.45931,547.9,81.5,251.7,no,1.0
4096,3072,fp32,norm,0.21766,462.5,68.8,100.7,no,2.11
4096,4096,fp32,fused,0.50862,527.8,78.5,268.4,no,1.18
4096,4096,fp32,unfused,0.60102,558.3,83.1,335.5,no,1.0
4096,4096,fp32,norm,0.29035,462.3,68.8,134.2,no,2.07
8192,2048,fp32,fused,0.51723,519.0,77.2,268.4,no,1.17
8192,2048,fp32,unfused,0.60459,555.0,82.6,335.5,no,1.0
8192,2048,fp32,norm,0.27683,484.8,72.1,134.2,no,2.18
8192,3072,fp32,fused,0.74338,541.7,80.6,402.7,no,1.2
8192,3072,fp32,unfused,0.8939,563.1,83.8,503.3,no,1.0
8192,3072,fp32,norm,0.38779,519.2,77.3,201.3,no,2.31
8192,4096,fp32,fused,0.96613,555.7,82.7,536.9,no,1.21
8192,4096,fp32,unfused,1.16717,575.0,85.6,671.1,no,1.0
8192,4096,fp32,norm,0.49952,537.4,80.0,268.4,no,2.34
16384,2048,fp32,fused,0.98237,546.5,81.3,536.9,no,1.19
16384,2048,fp32,unfused,1.16576,575.7,85.7,671.1,no,1.0
16384,2048,fp32,norm,0.50027,536.6,79.8,268.4,no,2.33
16384,3072,fp32,fused,1.42106,566.7,84.3,805.3,no,1.22
16384,3072,fp32,unfused,1.73733,579.4,86.2,1006.6,no,1.0
16384,3072,fp32,norm,0.73267,549.6,81.8,402.7,no,2.37
16384,4096,fp32,fused,1.89813,565.7,84.2,1073.7,no,1.22
16384,4096,fp32,unfused,2.31088,580.8,86.4,1342.2,no,1.0
16384,4096,fp32,norm,0.96909,554.0,82.4,536.9,no,2.38
32768,2048,fp32,fused,1.92419,558.0,83.0,1073.7,no,1.2
32768,2048,fp32,unfused,2.3081,581.5,86.5,1342.2,no,1.0
32768,2048,fp32,norm,0.96493,556.4,82.8,536.9,no,2.39
32768,3072,fp32,fused,2.81106,573.0,85.3,1610.6,no,1.23
32768,3072,fp32,unfused,3.46493,581.0,86.5,2013.3,no,1.0
32768,3072,fp32,norm,1.43488,561.2,83.5,805.3,no,2.41
32768,4096,fp32,fused,3.78288,567.7,84.5,2147.5,no,1.22
32768,4096,fp32,unfused,4.62653,580.2,86.3,2684.4,no,1.0
32768,4096,fp32,norm,1.90845,562.6,83.7,1073.7,no,2.42
4096,2048,bf16,fused,0.22397,299.6,44.6,67.1,no,0.55
4096,2048,bf16,unfused,0.12237,685.5,102.0,83.9,no,1.0
4096,2048,bf16,norm,0.07554,444.2,66.1,33.6,yes,1.62
4096,3072,bf16,fused,0.2877,349.9,52.1,100.7,no,0.66
4096,3072,bf16,unfused,0.19109,658.5,98.0,125.8,no,1.0
4096,3072,bf16,norm,0.08466,594.5,88.5,50.3,no,2.26
4096,4096,bf16,fused,0.35192,381.4,56.8,134.2,no,0.76
4096,4096,bf16,unfused,0.26862,624.6,92.9,167.8,no,1.0
4096,4096,bf16,norm,0.13549,495.3,73.7,67.1,no,1.98
8192,2048,bf16,fused,0.41533,323.2,48.1,134.2,no,0.64
8192,2048,bf16,unfused,0.26502,633.0,94.2,167.8,no,1.0
8192,2048,bf16,norm,0.13742,488.3,72.7,67.1,no,1.93
8192,3072,bf16,fused,0.54117,372.0,55.4,201.3,no,0.84
8192,3072,bf16,unfused,0.45606,551.8,82.1,251.7,no,1.0
8192,3072,bf16,norm,0.21285,472.9,70.4,100.7,no,2.14
8192,4096,bf16,fused,0.66544,403.4,60.0,268.4,no,0.9
8192,4096,bf16,unfused,0.59986,559.4,83.2,335.5,no,1.0
8192,4096,bf16,norm,0.26782,501.1,74.6,134.2,no,2.24
16384,2048,bf16,fused,0.79318,338.4,50.4,268.4,no,0.75
16384,2048,bf16,unfused,0.59757,561.5,83.6,335.5,no,1.0
16384,2048,bf16,norm,0.2671,502.5,74.8,134.2,no,2.24
16384,3072,bf16,fused,1.03918,387.5,57.7,402.7,no,0.85
16384,3072,bf16,unfused,0.88635,567.9,84.5,503.3,no,1.0
16384,3072,bf16,norm,0.3879,519.0,77.2,201.3,no,2.28
16384,4096,bf16,fused,1.28266,418.6,62.3,536.9,no,0.91
16384,4096,bf16,unfused,1.17243,572.4,85.2,671.1,no,1.0
16384,4096,bf16,norm,0.50478,531.8,79.1,268.4,no,2.32
32768,2048,bf16,fused,1.5333,350.1,52.1,536.9,no,0.76
32768,2048,bf16,unfused,1.16706,575.0,85.6,671.1,no,1.0
32768,2048,bf16,norm,0.49867,538.3,80.1,268.4,no,2.34
32768,3072,bf16,fused,2.02234,398.2,59.3,805.3,no,0.86
32768,3072,bf16,unfused,1.74531,576.8,85.8,1006.6,no,1.0
32768,3072,bf16,norm,0.73688,546.4,81.3,402.7,no,2.37
32768,4096,bf16,fused,2.52552,425.2,63.3,1073.7,no,0.91
32768,4096,bf16,unfused,2.31054,580.9,86.4,1342.2,no,1.0
32768,4096,bf16,norm,0.96784,554.7,82.5,536.9,no,2.39
