M,K,N,variant,ms,gflops,pct_peak,speedup_vs_cublas
512,512,512,cublas,0.0941,2852.3,9.2,1.0
512,512,512,tiled,0.1812,1481.2,4.8,0.519
512,512,512,v2reg,0.0872,3079.5,10.0,1.08
1024,1024,1024,cublas,0.2149,9994.6,32.3,1.0
1024,1024,1024,tiled,1.1777,1823.4,5.9,0.182
1024,1024,1024,v2reg,0.3422,6275.7,20.3,0.628
2048,2048,2048,cublas,1.1295,15210.1,49.2,1.0
2048,2048,2048,tiled,9.093,1889.3,6.1,0.124
2048,2048,2048,v2reg,2.2236,7726.1,25.0,0.508
4096,4096,4096,cublas,8.844,15540.3,50.3,1.0
4096,4096,4096,tiled,72.1771,1904.2,6.2,0.123
4096,4096,4096,v2reg,17.1861,7997.1,25.9,0.515
1024,768,512,cublas,0.1311,6144.0,19.9,1.0
1024,768,512,tiled,0.4652,1731.2,5.6,0.282
1024,768,512,v2reg,0.1529,5265.9,17.0,0.857
