batch,heads,seq_len,head_dim,dtype,causal,variant,ms,tflops,speedup_vs_sdpa,status
2,8,512,64,fp32,yes,naive,0.6911,0.78,0.3,ok
2,8,512,64,fp32,yes,flash,0.341,1.57,0.61,ok
2,8,1024,64,fp32,yes,sdpa,0.4105,5.23,1.0,ok
2,8,1024,64,fp32,yes,naive,1.8625,1.15,0.22,ok
2,8,1024,64,fp32,yes,flash,0.6221,3.45,0.66,ok
2,8,2048,64,fp32,yes,sdpa,1.1247,7.64,1.0,ok
2,8,2048,64,fp32,yes,naive,6.9852,1.23,0.16,ok
2,8,2048,64,fp32,yes,flash,1.8186,4.72,0.62,ok
1,8,4096,64,fp32,yes,sdpa,2.218,7.75,1.0,ok
1,8,4096,64,fp32,yes,naive,13.7426,1.25,0.16,ok
1,8,4096,64,fp32,yes,flash,3.3208,5.17,0.67,ok
