N,H,dtype,variant,ms,gbps,pct_peak,footprint_mb,l2_resident,speedup_vs_unfused
4096,2048,fp32,fused,0.36726,365.5,72.5,134.2,no,1.06
4096,2048,fp32,unfused,0.38811,432.3,85.8,167.8,no,1.0
4096,2048,fp32,norm,0.19968,336.1,66.7,67.1,no,1.94
4096,3072,fp32,fused,0.52426,384.0,76.2,201.3,no,1.17
4096,3072,fp32,unfused,0.61531,409.0,81.1,251.7,no,1.0
4096,3072,fp32,norm,0.28467,353.6,70.2,100.7,no,2.16
4096,4096,fp32,fused,0.67518,397.6,78.9,268.4,no,1.21
4096,4096,fp32,unfused,0.81691,410.7,81.5,335.5,no,1.0
4096,4096,fp32,norm,0.36762,365.1,72.4,134.2,no,2.22
8192,2048,fp32,fused,0.6912,388.4,77.1,268.4,no,1.17
8192,2048,fp32,unfused,0.80896,414.8,82.3,335.5,no,1.0
8192,2048,fp32,norm,0.36557,367.1,72.8,134.2,no,2.21
8192,3072,fp32,fused,0.99533,404.5,80.3,402.7,no,1.21
8192,3072,fp32,unfused,1.20627,417.2,82.8,503.3,no,1.0
8192,3072,fp32,norm,0.51405,391.6,77.7,201.3,no,2.35
8192,4096,fp32,fused,1.30867,410.2,81.4,536.9,no,1.24
8192,4096,fp32,unfused,1.62611,412.7,81.9,671.1,no,1.0
8192,4096,fp32,norm,0.68096,394.2,78.2,268.4,no,2.39
16384,2048,fp32,fused,1.33717,401.5,79.7,536.9,no,1.2
16384,2048,fp32,unfused,1.61053,416.7,82.7,671.1,no,1.0
16384,2048,fp32,norm,0.6687,401.4,79.6,268.4,no,2.41
16384,3072,fp32,fused,2.00397,401.9,79.7,805.3,no,1.21
16384,3072,fp32,unfused,2.42176,415.7,82.5,1006.6,no,1.0
16384,3072,fp32,norm,0.98406,409.2,81.2,402.7,no,2.46
16384,4096,fp32,fused,2.6327,407.8,80.9,1073.7,no,1.22
16384,4096,fp32,unfused,3.21838,417.0,82.7,1342.2,no,1.0
16384,4096,fp32,norm,1.34213,400.0,79.4,536.9,no,2.4
32768,2048,fp32,fused,2.69517,398.4,79.0,1073.7,no,1.18
32768,2048,fp32,unfused,3.18659,421.2,83.6,1342.2,no,1.0
32768,2048,fp32,norm,1.32096,406.4,80.6,536.9,no,2.41
32768,3072,fp32,fused,3.83846,419.6,83.3,1610.6,no,1.24
32768,3072,fp32,unfused,4.76237,422.7,83.9,2013.3,no,1.0
32768,3072,fp32,norm,1.98664,405.4,80.4,805.3,no,2.4
32768,4096,fp32,fused,5.02386,427.5,84.8,2147.5,no,1.26
32768,4096,fp32,unfused,6.32525,424.4,84.2,2684.4,no,1.0
32768,4096,fp32,norm,2.67822,400.9,79.5,1073.7,no,2.36
4096,2048,bf16,fused,0.20595,325.8,64.7,67.1,no,0.81
4096,2048,bf16,unfused,0.16691,502.6,99.7,83.9,no,1.0
4096,2048,bf16,norm,0.11776,284.9,56.5,33.6,yes,1.42
4096,3072,bf16,fused,0.27728,363.0,72.0,100.7,no,0.97
4096,3072,bf16,unfused,0.2684,468.8,93.0,125.8,no,1.0
4096,3072,bf16,norm,0.1187,424.0,84.1,50.3,no,2.26
4096,4096,bf16,fused,0.35005,383.4,76.1,134.2,no,1.13
4096,4096,bf16,unfused,0.39712,422.5,83.8,167.8,no,1.0
4096,4096,bf16,norm,0.20048,334.7,66.4,67.1,no,1.98
8192,2048,bf16,fused,0.36114,371.7,73.7,134.2,no,1.08
8192,2048,bf16,unfused,0.38901,431.3,85.6,167.8,no,1.0
8192,2048,bf16,norm,0.20413,328.8,65.2,67.1,no,1.91
8192,3072,bf16,fused,0.49894,403.5,80.1,201.3,no,1.24
8192,3072,bf16,unfused,0.61742,407.6,80.9,251.7,no,1.0
8192,3072,bf16,norm,0.2876,350.0,69.4,100.7,no,2.15
8192,4096,bf16,fused,0.64499,416.2,82.6,268.4,no,1.26
8192,4096,bf16,unfused,0.8107,413.9,82.1,335.5,no,1.0
8192,4096,bf16,norm,0.36403,368.7,73.2,134.2,no,2.23
16384,2048,bf16,fused,0.66781,402.0,79.8,268.4,no,1.22
16384,2048,bf16,unfused,0.81203,413.2,82.0,335.5,no,1.0
16384,2048,bf16,norm,0.36635,366.4,72.7,134.2,no,2.22
16384,3072,bf16,fused,0.9512,423.3,84.0,402.7,no,1.27
16384,3072,bf16,unfused,1.21187,415.3,82.4,503.3,no,1.0
16384,3072,bf16,norm,0.52122,386.3,76.6,201.3,no,2.33
16384,4096,bf16,fused,1.26157,425.6,84.4,536.9,no,1.29
16384,4096,bf16,unfused,1.62186,413.8,82.1,671.1,no,1.0
16384,4096,bf16,norm,0.67789,396.0,78.6,268.4,no,2.39
32768,2048,bf16,fused,1.31173,409.3,81.2,536.9,no,1.23
32768,2048,bf16,unfused,1.60872,417.2,82.8,671.1,no,1.0
32768,2048,bf16,norm,0.67789,396.0,78.6,268.4,no,2.37
32768,3072,bf16,fused,1.91363,420.8,83.5,805.3,no,1.27
32768,3072,bf16,unfused,2.4395,412.6,81.9,1006.6,no,1.0
32768,3072,bf16,norm,0.99939,402.9,79.9,402.7,no,2.44
32768,4096,bf16,fused,2.52517,425.2,84.4,1073.7,no,1.28
32768,4096,bf16,unfused,3.2339,415.0,82.3,1342.2,no,1.0
32768,4096,bf16,norm,1.34115,400.3,79.4,536.9,no,2.41
